 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   1.20000 ,    -0.325202701514890E+01 ,    -0.309142213837055E+01 ,    -0.315667188854103E+01 ,    -0.223584885110761E+00 ,    -0.295881292480686E+01 ,    -0.347650437553176E+01 ,     0.804633486489553E+00 ,    -0.287964758942994E+01 ,     0.734327941189015E+00 ,    -0.121086754524044E+01 , 
   1.22000 ,    -0.750169226011639E+01 ,     0.126677197880071E+01 ,     0.100763736037106E+01 ,     0.118945335027365E+01 ,    -0.925585596318687E+01 ,    -0.702502211776385E+01 ,    -0.848844618436941E+00 ,    -0.839384910255035E+01 ,    -0.127301748598750E+01 ,    -0.169931913222862E+01 , 
   1.24000 ,    -0.867898189693460E+01 ,     0.434776212048581E+01 ,     0.419205669934302E+01 ,     0.123977845128715E+01 ,    -0.119861128395609E+02 ,    -0.719174858944430E+01 ,    -0.147998386111182E+01 ,    -0.112694482727841E+02 ,    -0.195428723769717E+01 ,    -0.209216203108580E+01 , 
   1.26000 ,    -0.505530211265838E+01 ,     0.222702287571802E+01 ,     0.233766843748140E+01 ,    -0.239038914594856E+00 ,    -0.724526193291653E+01 ,    -0.371678575075113E+01 ,    -0.236721697695239E+00 ,    -0.741682992400228E+01 ,    -0.428426986705639E+00 ,    -0.189184495233993E+01 , 
   1.28000 ,    -0.558180044029858E+00 ,    -0.298922726633609E+01 ,    -0.274802590496482E+01 ,    -0.160099687018538E+01 ,     0.838287640245578E+00 ,    -0.137068729614956E+01 ,     0.157845512919958E+01 ,     0.846371046903067E-01 ,     0.158151205881761E+01 ,    -0.129329891984753E+01 , 
   1.30000 ,    -0.607827469100288E+00 ,    -0.515326024966865E+01 ,    -0.499526283078293E+01 ,    -0.118310888100110E+01 ,     0.444856481249555E+01 ,    -0.480865755412176E+01 ,     0.188370627091456E+01 ,     0.399170121459394E+01 ,     0.161948588149125E+01 ,    -0.100618575999587E+01 , 
   1.32000 ,    -0.573675258804180E+01 ,    -0.120567704356109E+01 ,    -0.112458911771703E+01 ,     0.726470637202981E+00 ,     0.720234484180281E+00 ,    -0.125477475779439E+02 ,     0.219608604519730E+00 ,     0.865706083188521E+00 ,    -0.624847395106358E+00 ,    -0.142538034080323E+01 , 
   1.34000 ,    -0.103206236977794E+02 ,     0.465368762969750E+01 ,     0.484640749521739E+01 ,     0.201686925726582E+01 ,    -0.505678254610543E+01 ,    -0.172047063801150E+02 ,    -0.155215772815122E+01 ,    -0.490608013136532E+01 ,    -0.272385736287530E+01 ,    -0.210064067345258E+01 , 
   1.36000 ,    -0.850946685905644E+01 ,     0.517724169448228E+01 ,     0.552008276158511E+01 ,     0.102459005215097E+01 ,    -0.557281832179262E+01 ,    -0.128267773417859E+02 ,    -0.122960360043347E+01 ,    -0.604274779979748E+01 ,    -0.209290327154550E+01 ,    -0.219094437608092E+01 , 
   1.38000 ,    -0.128176794669616E+01 ,    -0.135057025193653E+01 ,    -0.110081510085113E+01 ,    -0.144294870167488E+01 ,    -0.301511750451702E+00 ,    -0.203431140275347E+01 ,     0.111018329502226E+01 ,    -0.120263166165432E+01 ,     0.948621296564890E+00 ,    -0.146897774846460E+01 , 
   1.40000 ,     0.349263314182863E+01 ,    -0.796188291657582E+01 ,    -0.794594704625499E+01 ,    -0.266299001255260E+01 ,     0.324265913569121E+01 ,     0.519493739514268E+01 ,     0.284538378416693E+01 ,     0.246554581032254E+01 ,     0.311969674665074E+01 ,    -0.718535425376188E+00 , 
   1.42000 ,    -0.867432855018040E+00 ,    -0.601200329400321E+01 ,    -0.575086958170060E+01 ,    -0.829004318624171E+00 ,    -0.190611588187401E+01 ,     0.112264133153822E+01 ,     0.153572284765356E+01 ,    -0.292352519661901E+01 ,     0.155271425509810E+01 ,    -0.941923457924589E+00 , 
   1.44000 ,    -0.115060942900321E+02 ,     0.421348989073409E+01 ,     0.570689205955141E+01 ,     0.265502325685814E+01 ,    -0.125878288543009E+02 ,    -0.109063975594516E+02 ,    -0.203290018751803E+01 ,    -0.154335538249705E+02 ,    -0.274479018076297E+01 ,    -0.213064489911649E+01 , 
   1.46000 ,    -0.166342486048078E+02 ,     0.110962107762937E+02 ,     0.143576032694648E+02 ,     0.393232156014328E+01 ,    -0.159701325747200E+02 ,    -0.178485120386448E+02 ,    -0.385906175131648E+01 ,    -0.218442324514862E+02 ,    -0.512340108911719E+01 ,    -0.297811955436585E+01 , 
   1.48000 ,    -0.585133996828648E+01 ,     0.181927882821345E+01 ,     0.592962858463798E+01 ,     0.883672070126548E-01 ,    -0.120388383649472E+01 ,    -0.844597189569438E+01 ,    -0.271394373311834E+00 ,    -0.880934790289615E+01 ,    -0.143569066495671E+01 ,    -0.203282373690381E+01 , 
   1.50000 ,     0.190992889563482E+02 ,    -0.239130476246959E+02 ,    -0.212147015891955E+02 ,    -0.789535652324154E+01 ,     0.285284226890921E+02 ,     0.155696783787996E+02 ,     0.819682546137422E+01 ,     0.230893296118967E+02 ,     0.772285683648878E+01 ,     0.753983161008457E+00 , 
   1.52000 ,     0.437366697985804E+02 ,    -0.506255614203786E+02 ,    -0.514524676241464E+02 ,    -0.154429451372287E+02 ,     0.558973191969133E+02 ,     0.393939046561715E+02 ,     0.164816094055384E+02 ,     0.564597599540721E+02 ,     0.168500981743814E+02 ,     0.368603273146823E+01 , 
   1.54000 ,     0.518072122051936E+02 ,    -0.589895807932936E+02 ,    -0.635776319021624E+02 ,    -0.178056340803241E+02 ,     0.625512789174287E+02 ,     0.468402826497093E+02 ,     0.188742987033873E+02 ,     0.696360135421822E+02 ,     0.198478559996813E+02 ,     0.466792394613487E+01 , 
