 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.66000 ,    -0.528286081917847E+01 ,    -0.105813644607163E+01 ,    -0.965720954524298E+00 ,     0.384487194135102E+00 ,    -0.614090952380514E+01 ,    -0.440371868375654E+01 ,     0.152514676181885E-02 ,    -0.612949424356428E+01 ,    -0.210345545726550E+00 ,    -0.147138612649354E+01 , 
   0.68000 ,    -0.784993810832968E+01 ,     0.223044070756779E+01 ,     0.216880390582858E+01 ,     0.120225335234516E+01 ,    -0.895628052293872E+01 ,    -0.686050865565928E+01 ,    -0.130465174144716E+01 ,    -0.845351158247271E+01 ,    -0.169184617430081E+01 ,    -0.185551184446886E+01 , 
   0.70000 ,    -0.695321494628381E+01 ,     0.285767086655939E+01 ,     0.278571002299981E+01 ,     0.590837025370065E+00 ,    -0.812514541252473E+01 ,    -0.600602968938343E+01 ,    -0.950827987293777E+00 ,    -0.783410053101307E+01 ,    -0.128577040677504E+01 ,    -0.199150062687419E+01 , 
   0.72000 ,    -0.370837410521324E+01 ,     0.176847172057172E+00 ,     0.211831393467435E+00 ,    -0.701635027007734E+00 ,    -0.463488866593402E+01 ,    -0.294104972133693E+01 ,     0.598423012593140E+00 ,    -0.499290114840330E+01 ,     0.471733991038428E+00 ,    -0.172270148574638E+01 , 
   0.74000 ,    -0.192576567608746E+01 ,    -0.266946821609103E+01 ,    -0.255565870018513E+01 ,    -0.115170731544964E+01 ,    -0.258181975919120E+01 ,    -0.126119836496050E+01 ,     0.152061185068289E+01 ,    -0.327316836044690E+01 ,     0.151701577793298E+01 ,    -0.136181434190053E+01 , 
   0.76000 ,    -0.364928943911814E+01 ,    -0.241292063880801E+01 ,    -0.233134272807721E+01 ,    -0.248217614693313E+00 ,    -0.434027545235805E+01 ,    -0.288727677942583E+01 ,     0.769290476273352E+00 ,    -0.469703791794314E+01 ,     0.674265454590435E+00 ,    -0.132747094233734E+01 , 
   0.78000 ,    -0.682022328254828E+01 ,     0.595949477990197E+00 ,     0.601640565102064E+00 ,     0.932889314903924E+00 ,    -0.781905015323667E+01 ,    -0.587944333347688E+01 ,    -0.747614442675464E+00 ,    -0.760226803105754E+01 ,    -0.102586262513778E+01 ,    -0.165866343799760E+01 , 
   0.80000 ,    -0.772381381134113E+01 ,     0.283958461361460E+01 ,     0.284564168681832E+01 ,     0.100789063854827E+01 ,    -0.894845231535261E+01 ,    -0.672582191108877E+01 ,    -0.126405526605246E+01 ,    -0.859517878638430E+01 ,    -0.159596642930415E+01 ,    -0.196892429009282E+01 , 
   0.82000 ,    -0.532167864118513E+01 ,     0.171558505978256E+01 ,     0.181810949475967E+01 ,    -0.981672368965349E-01 ,    -0.644171843151930E+01 ,    -0.442590177027134E+01 ,    -0.208097333060426E+00 ,    -0.652352915970837E+01 ,    -0.403023247911116E+00 ,    -0.189485010046865E+01 , 
   0.84000 ,    -0.243559454649459E+01 ,    -0.146646442187886E+01 ,    -0.127358284768288E+01 ,    -0.107959789098104E+01 ,    -0.327809230035671E+01 ,    -0.164136418156838E+01 ,     0.116711467127251E+01 ,    -0.383232586003524E+01 ,     0.113598661914098E+01 ,    -0.152021066842591E+01 , 
   0.86000 ,    -0.243981725382830E+01 ,    -0.301358649564188E+01 ,    -0.283338550709032E+01 ,    -0.786715154129639E+00 ,    -0.320744632817445E+01 ,    -0.159513669121424E+01 ,     0.126545285610389E+01 ,    -0.371392659597138E+01 ,     0.123133749890955E+01 ,    -0.128135139422494E+01 , 
   0.88000 ,    -0.532616547292716E+01 ,    -0.112908824921213E+01 ,    -0.103952718456723E+01 ,     0.432402511774589E+00 ,    -0.636366487469068E+01 ,    -0.431909602164008E+01 ,    -0.344972344393425E-02 ,    -0.636140030093990E+01 ,    -0.208487769941794E+00 ,    -0.145930268500784E+01 , 
   0.90000 ,    -0.771342939649612E+01 ,     0.199865590151965E+01 ,     0.203318432571043E+01 ,     0.114501422045049E+01 ,    -0.909439641500640E+01 ,    -0.660766446639270E+01 ,    -0.114264158041815E+01 ,    -0.870105329665733E+01 ,    -0.149982672274757E+01 ,    -0.184788737906019E+01 , 
   0.92000 ,    -0.678811682792847E+01 ,     0.272179367722936E+01 ,     0.280120193980921E+01 ,     0.511469109386076E+00 ,    -0.821040919749370E+01 ,    -0.574904293724830E+01 ,    -0.820726347289547E+00 ,    -0.795704408637886E+01 ,    -0.115376805483664E+01 ,    -0.198937655151820E+01 , 
   0.94000 ,    -0.359884039665448E+01 ,     0.171447762137440E+00 ,     0.337752101698140E+00 ,    -0.730947352099573E+00 ,    -0.471792532097514E+01 ,    -0.271415265468149E+01 ,     0.585255727461056E+00 ,    -0.492527202266451E+01 ,     0.406291085640972E+00 ,    -0.171009922105277E+01 , 
   0.96000 ,    -0.186200467820988E+01 ,    -0.270031508180490E+01 ,    -0.250827433100921E+01 ,    -0.112530789587705E+01 ,    -0.267727673915613E+01 ,    -0.107214953480833E+01 ,     0.143654831082783E+01 ,    -0.311084658945833E+01 ,     0.135482511152171E+01 ,    -0.133112465627058E+01 , 
   0.98000 ,    -0.363522702677024E+01 ,    -0.252508631637893E+01 ,    -0.238861424392638E+01 ,    -0.197999308818320E+00 ,    -0.447786781245390E+01 ,    -0.283718421198743E+01 ,     0.739746375430517E+00 ,    -0.465777402007929E+01 ,     0.589767940155268E+00 ,    -0.129874454323220E+01 , 
   1.00000 ,    -0.687641778162045E+01 ,     0.537947211281014E+00 ,     0.622041328241312E+00 ,     0.976115764509935E+00 ,    -0.800980882123916E+01 ,    -0.605668181124612E+01 ,    -0.697271133634654E+00 ,    -0.777930795534876E+01 ,    -0.993318096108250E+00 ,    -0.165789879552167E+01 , 
   1.02000 ,    -0.776983700042360E+01 ,     0.292097723133547E+01 ,     0.303526561865389E+01 ,     0.101544336714326E+01 ,    -0.906662987412849E+01 ,    -0.701134221925337E+01 ,    -0.119857864189014E+01 ,    -0.875031403921180E+01 ,    -0.154612218024373E+01 ,    -0.198799403032532E+01 , 
   1.04000 ,    -0.518074262668730E+01 ,     0.177627522345560E+01 ,     0.197338752080024E+01 ,    -0.150887900631024E+00 ,    -0.625350210564033E+01 ,    -0.456279570011564E+01 ,    -0.166324189935963E+00 ,    -0.624878731722028E+01 ,    -0.416831939810211E+00 ,    -0.189040355733739E+01 , 
   1.06000 ,    -0.206330257845524E+01 ,    -0.163622505315982E+01 ,    -0.141161495184092E+01 ,    -0.117492487685665E+01 ,    -0.269661388745742E+01 ,    -0.159740987374154E+01 ,     0.121160794829183E+01 ,    -0.300580804276608E+01 ,     0.108457571832164E+01 ,    -0.146529360957211E+01 , 
   1.08000 ,    -0.209465303942477E+01 ,    -0.331284032539741E+01 ,    -0.317145590104384E+01 ,    -0.842567525773394E+00 ,    -0.247368007807782E+01 ,    -0.176462978515311E+01 ,     0.132461524184546E+01 ,    -0.272271569766472E+01 ,     0.119748820105062E+01 ,    -0.120941702595671E+01 , 
   1.10000 ,    -0.535176001344385E+01 ,    -0.116677826521441E+01 ,    -0.115146254386925E+01 ,     0.495536012168165E+00 ,    -0.582234509355987E+01 ,    -0.517316748665350E+01 ,     0.148892848638342E-01 ,    -0.571552286066445E+01 ,    -0.238709140807183E+00 ,    -0.143541420586841E+01 , 
   1.12000 ,    -0.808161755364654E+01 ,     0.240710882442264E+01 ,     0.236719114182388E+01 ,     0.129067855431364E+01 ,    -0.873199390015880E+01 ,    -0.807735062589214E+01 ,    -0.120709365364979E+01 ,    -0.838811971648069E+01 ,    -0.157059614135239E+01 ,    -0.188793674034920E+01 , 
   1.14000 ,    -0.698424994779028E+01 ,     0.319142835113504E+01 ,     0.319232336458860E+01 ,     0.578707822238715E+00 ,    -0.755208972686498E+01 ,    -0.711078189033887E+01 ,    -0.890367070976584E+00 ,    -0.733854312039320E+01 ,    -0.122942547708553E+01 ,    -0.202536794666944E+01 , 
   1.16000 ,    -0.314898096754985E+01 ,     0.107943068067602E+00 ,     0.153500950068605E+00 ,    -0.863576520553142E+00 ,    -0.336619925369368E+01 ,    -0.330384698994945E+01 ,     0.651871121894940E+00 ,    -0.345712100683243E+01 ,     0.427067362521176E+00 ,    -0.166035687920541E+01 , 
   1.18000 ,    -0.989638903985213E+00 ,    -0.331381904057105E+01 ,    -0.331672249257727E+01 ,    -0.136112878137280E+01 ,    -0.935526595504341E+00 ,    -0.113775770619003E+01 ,     0.164870862163523E+01 ,    -0.112982253286625E+01 ,     0.147668146955700E+01 ,    -0.120649204588238E+01 , 
   1.20000 ,    -0.318448631288119E+01 ,    -0.291228849931741E+01 ,    -0.303946635510282E+01 ,    -0.272544808983005E+00 ,    -0.317981992429329E+01 ,    -0.346944413612943E+01 ,     0.897624406883031E+00 ,    -0.317584210644569E+01 ,     0.638703692801369E+00 ,    -0.121136398811768E+01 , 
   1.22000 ,    -0.737297338207664E+01 ,     0.110995559619391E+01 ,     0.896371493218514E+00 ,     0.120058666436278E+01 ,    -0.749147303652000E+01 ,    -0.806394998264140E+01 ,    -0.790639332930036E+00 ,    -0.726316769175424E+01 ,    -0.118920380359605E+01 ,    -0.169732984902687E+01 , 
   1.24000 ,    -0.861865884137842E+01 ,     0.410009164521253E+01 ,     0.391641697625560E+01 ,     0.132478217632272E+01 ,    -0.839422931414240E+01 ,    -0.992917718374598E+01 ,    -0.144290974052896E+01 ,    -0.821515326918348E+01 ,    -0.188508819565284E+01 ,    -0.209653677775625E+01 , 
   1.26000 ,    -0.511534192029872E+01 ,     0.225406866678804E+01 ,     0.217639817547874E+01 ,    -0.153517184540505E+00 ,    -0.386545022483651E+01 ,    -0.708976722609816E+01 ,    -0.189435868454506E+00 ,    -0.397586133930252E+01 ,    -0.546142836538187E+00 ,    -0.190215019069718E+01 , 
   1.28000 ,    -0.629106980894596E+00 ,    -0.264836378440689E+01 ,    -0.263808973414767E+01 ,    -0.160087703026780E+01 ,     0.187565381113478E+01 ,    -0.320833330567434E+01 ,     0.162785319411914E+01 ,     0.153570596994107E+01 ,     0.135906041381070E+01 ,    -0.129886814414113E+01 , 
   1.30000 ,    -0.519210289974024E+00 ,    -0.485646254058941E+01 ,    -0.479990004244757E+01 ,    -0.127261245107615E+01 ,     0.271743152731855E+01 ,    -0.365736855627836E+01 ,     0.187801541796489E+01 ,     0.239699057351157E+01 ,     0.155731402938674E+01 ,    -0.100069573662492E+01 , 
