 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.90000 ,    -0.767878626339016E+01 ,     0.198793318668594E+01 ,     0.216592935421487E+01 ,     0.112094509285203E+01 ,    -0.967363941580863E+01 ,    -0.678341173684873E+01 ,    -0.117595088091011E+01 ,    -0.912227721767383E+01 ,    -0.151418601810864E+01 ,    -0.187479413058388E+01 , 
   0.92000 ,    -0.670790275714651E+01 ,     0.265719253489176E+01 ,     0.290476679513229E+01 ,     0.467574506121262E+00 ,    -0.859723821133723E+01 ,    -0.581768185157917E+01 ,    -0.825886994688072E+00 ,    -0.819630947787731E+01 ,    -0.111995148927107E+01 ,    -0.200443095266763E+01 , 
   0.94000 ,    -0.356295570832458E+01 ,     0.469559172966689E-01 ,     0.367092506826377E+00 ,    -0.749129752129245E+00 ,    -0.448665873244849E+01 ,    -0.255856500420373E+01 ,     0.602278350994224E+00 ,    -0.476612827499660E+01 ,     0.461087556696386E+00 ,    -0.169543871847652E+01 , 
   0.96000 ,    -0.191436965812779E+01 ,    -0.281366706974857E+01 ,    -0.251477097683465E+01 ,    -0.110177563432625E+01 ,    -0.215323869106815E+01 ,    -0.823387503555883E+00 ,     0.144658039015678E+01 ,    -0.282733769464542E+01 ,     0.137372977906309E+01 ,    -0.130404597211089E+01 , 
   0.98000 ,    -0.372572154556572E+01 ,    -0.255403255924813E+01 ,    -0.235855252207470E+01 ,    -0.164355705366043E+00 ,    -0.432154703666861E+01 ,    -0.273116826394533E+01 ,     0.728780844215422E+00 ,    -0.466205651205347E+01 ,     0.548689499600981E+00 ,    -0.129070820697502E+01 , 
   1.00000 ,    -0.691515655690591E+01 ,     0.581760271567343E+00 ,     0.706378837733343E+00 ,     0.976793661220441E+00 ,    -0.841463267611078E+01 ,    -0.617726259520117E+01 ,    -0.710489895979580E+00 ,    -0.811166632598617E+01 ,    -0.105646314594069E+01 ,    -0.167711167546703E+01 , 
   1.02000 ,    -0.772485035136265E+01 ,     0.294577344800390E+01 ,     0.311632525591046E+01 ,     0.978247362057661E+00 ,    -0.952465684997319E+01 ,    -0.721441078480944E+01 ,    -0.118731752754515E+01 ,    -0.902251200421577E+01 ,    -0.157104280866636E+01 ,    -0.200992186502327E+01 , 
   1.04000 ,    -0.511252389129475E+01 ,     0.170988132427279E+01 ,     0.199224909408276E+01 ,    -0.186126784371747E+00 ,    -0.616156733759355E+01 ,    -0.465518268287581E+01 ,    -0.132525235640941E+00 ,    -0.610813737368416E+01 ,    -0.386687806911626E+00 ,    -0.188727718141082E+01 , 
   1.06000 ,    -0.205788137121443E+01 ,    -0.176262161980935E+01 ,    -0.143639959048154E+01 ,    -0.116849556913560E+01 ,    -0.208182096426080E+01 ,    -0.155052368331418E+01 ,     0.123520421627754E+01 ,    -0.256676481338033E+01 ,     0.112536617554199E+01 ,    -0.143944937389331E+01 , 
   1.08000 ,    -0.216752030063387E+01 ,    -0.339785591676096E+01 ,    -0.315990288820782E+01 ,    -0.801022101919762E+00 ,    -0.197626735980107E+01 ,    -0.172062581868332E+01 ,     0.131271324047461E+01 ,    -0.244618848251226E+01 ,     0.119427748180759E+01 ,    -0.119075668024933E+01 , 
