 Q (1/Ang),Pb-Pb,Pb-Ta,Pb-Sc,Pb-O ,Ta-Ta,Ta-Sc,Ta-O ,Sc-Sc,Sc-O ,O-O  
   0.68000 ,    -0.770586635406148E+01 ,     0.238479928310836E+01 ,     0.216900403205802E+01 ,     0.110131297531585E+01 ,    -0.113184070106518E+02 ,    -0.573186695714937E+01 ,    -0.126736091009082E+01 ,    -0.974206402218656E+01 ,    -0.189903320515683E+01 ,    -0.185427236379237E+01 , 
   0.70000 ,    -0.681768033372368E+01 ,     0.302426978066021E+01 ,     0.290935395125952E+01 ,     0.506377037409916E+00 ,    -0.108446448034442E+02 ,    -0.428461409577296E+01 ,    -0.938254044015759E+00 ,    -0.987604771173347E+01 ,    -0.144214208257992E+01 ,    -0.198382713662667E+01 , 
   0.72000 ,    -0.371522570895152E+01 ,     0.165956734135112E+00 ,     0.336477837039503E+00 ,    -0.683706973072695E+00 ,    -0.571714057756549E+01 ,    -0.152355452077449E+01 ,     0.565709670803448E+00 ,    -0.646932997030569E+01 ,     0.534586299618246E+00 ,    -0.171291623976802E+01 , 
   0.74000 ,    -0.204231130856460E+01 ,    -0.284234280120085E+01 ,    -0.255290744571372E+01 ,    -0.106649235844610E+01 ,    -0.201855369891281E+01 ,    -0.626503394061248E+00 ,     0.147518494381413E+01 ,    -0.359502936054221E+01 ,     0.170858058182862E+01 ,    -0.135653287327284E+01 , 
   0.76000 ,    -0.372768343175387E+01 ,    -0.255274622950877E+01 ,    -0.243012656485784E+01 ,    -0.204018291222196E+00 ,    -0.407177896504760E+01 ,    -0.252012406877041E+01 ,     0.746156320985950E+00 ,    -0.471056157518986E+01 ,     0.774258830487096E+00 ,    -0.132860888995668E+01 , 
   0.78000 ,    -0.677144805087210E+01 ,     0.636788422719102E+00 ,     0.539323097930510E+00 ,     0.882925900938682E+00 ,    -0.951804995535981E+01 ,    -0.481532600103069E+01 ,    -0.760038334049679E+00 ,    -0.866131923951280E+01 ,    -0.110122065515532E+01 ,    -0.166137483706463E+01 , 
   0.80000 ,    -0.761076461606914E+01 ,     0.299508872184683E+01 ,     0.291117194240555E+01 ,     0.924514880184478E+00 ,    -0.121604587241246E+02 ,    -0.463342186733827E+01 ,    -0.130998561113710E+01 ,    -0.110275248538979E+02 ,    -0.170508438174249E+01 ,    -0.196680686721470E+01 , 
   0.82000 ,    -0.527459328612364E+01 ,     0.178668515176576E+01 ,     0.194804397579821E+01 ,    -0.114788207673342E+00 ,    -0.913284792343432E+01 ,    -0.202088634621603E+01 ,    -0.306234757261947E+00 ,    -0.922093346191041E+01 ,    -0.358474602127019E+00 ,    -0.188653037094769E+01 , 
   0.84000 ,    -0.249948270928367E+01 ,    -0.158232087448533E+01 ,    -0.122083650534136E+01 ,    -0.100667781730175E+01 ,    -0.411612045106663E+01 ,     0.662913230015366E-01 ,     0.105205569066539E+01 ,    -0.545960581559900E+01 ,     0.134322841632452E+01 ,    -0.151014329998159E+01 , 
   0.86000 ,    -0.253075308907782E+01 ,    -0.320751490250420E+01 ,    -0.290674674541805E+01 ,    -0.702965693910326E+00 ,    -0.300400690673892E+01 ,    -0.774834426359549E+00 ,     0.118437350864415E+01 ,    -0.420271305806561E+01 ,     0.142628298701042E+01 ,    -0.127458464128015E+01 , 
   0.88000 ,    -0.533667123459053E+01 ,    -0.120763409167848E+01 ,    -0.113493460023513E+01 ,     0.439101935193996E+00 ,    -0.709940613687029E+01 ,    -0.353401425895372E+01 ,    -0.434390799257485E-01 ,    -0.699070444026258E+01 ,    -0.175234896666410E+00 ,    -0.145667059347716E+01 , 
   0.90000 ,    -0.763612462257135E+01 ,     0.209516777202925E+01 ,     0.204725638319122E+01 ,     0.107677291678652E+01 ,    -0.116649184707230E+02 ,    -0.492461912690705E+01 ,    -0.118542197233947E+01 ,    -0.106338949963250E+02 ,    -0.158077026734569E+01 ,    -0.184680617608057E+01 , 
   0.92000 ,    -0.671666580358929E+01 ,     0.285972593904792E+01 ,     0.291998953498258E+01 ,     0.453551367525266E+00 ,    -0.114313873384590E+02 ,    -0.324169012429368E+01 ,    -0.905485616791475E+00 ,    -0.108745433371500E+02 ,    -0.116990525518259E+01 ,    -0.198823550124472E+01 , 
   0.94000 ,    -0.361493026832524E+01 ,     0.185798223885098E+00 ,     0.417212230140374E+00 ,    -0.710702821891176E+00 ,    -0.668608361323414E+01 ,    -0.421585005616819E+00 ,     0.475802419368546E+00 ,    -0.734490860848228E+01 ,     0.548610591579608E+00 ,    -0.171019480857696E+01 , 
   0.96000 ,    -0.194503866921858E+01 ,    -0.281496278066399E+01 ,    -0.258194526093704E+01 ,    -0.105262409908743E+01 ,    -0.293769756187453E+01 ,     0.179724716505055E+00 ,     0.135956790983860E+01 ,    -0.408083529521858E+01 ,     0.155447284067320E+01 ,    -0.133392318226022E+01 , 
   0.98000 ,    -0.369462587574306E+01 ,    -0.261579260490898E+01 ,    -0.255444466080933E+01 ,    -0.158362789457544E+00 ,    -0.455027508348889E+01 ,    -0.224696597447242E+01 ,     0.724494393300678E+00 ,    -0.490059399666104E+01 ,     0.673647941115690E+00 ,    -0.130269733718617E+01 , 
   1.00000 ,    -0.685967254543330E+01 ,     0.595205880821432E+00 ,     0.541612930969691E+00 ,     0.938101485939137E+00 ,    -0.966996838227518E+01 ,    -0.492521557107507E+01 ,    -0.687571453272495E+00 ,    -0.891286294124262E+01 ,    -0.106560391972337E+01 ,    -0.165964593450465E+01 , 
   1.02000 ,    -0.771793725958136E+01 ,     0.307117193010268E+01 ,     0.313093710995996E+01 ,     0.946003531095490E+00 ,    -0.123082599545946E+02 ,    -0.470435900084473E+01 ,    -0.122696286525117E+01 ,    -0.114076573321675E+02 ,    -0.163730599334856E+01 ,    -0.198676111829842E+01 , 
   1.04000 ,    -0.517330688521245E+01 ,     0.184976156403933E+01 ,     0.213610749073436E+01 ,    -0.170718461048554E+00 ,    -0.924562953340513E+01 ,    -0.182529112083552E+01 ,    -0.249057649849472E+00 ,    -0.926543933083830E+01 ,    -0.374892882043503E+00 ,    -0.188964903608180E+01 , 
   1.06000 ,    -0.212537843965770E+01 ,    -0.172152270159212E+01 ,    -0.137209679408920E+01 ,    -0.112354978091228E+01 ,    -0.383661550643614E+01 ,     0.239947053502208E+00 ,     0.112434609144806E+01 ,    -0.470876598385301E+01 ,     0.125128327701955E+01 ,    -0.146875549888576E+01 , 
   1.08000 ,    -0.217329566400320E+01 ,    -0.345286003604219E+01 ,    -0.330414200835891E+01 ,    -0.781198995117923E+00 ,    -0.225276684975161E+01 ,    -0.117026665616500E+01 ,     0.128925745988050E+01 ,    -0.291492372266303E+01 ,     0.133677013917084E+01 ,    -0.121610244777229E+01 , 
   1.10000 ,    -0.538081926689018E+01 ,    -0.119741248841743E+01 ,    -0.129578304039189E+01 ,     0.494892799955905E+00 ,    -0.634343637290938E+01 ,    -0.467654325159199E+01 ,     0.263585622024046E-01 ,    -0.600436867728308E+01 ,    -0.241088708229863E+00 ,    -0.144015946363948E+01 , 
   1.12000 ,    -0.805215173855265E+01 ,     0.250546570866789E+01 ,     0.240684564739910E+01 ,     0.122727429026173E+01 ,    -0.113000648062106E+02 ,    -0.636082110381884E+01 ,    -0.120842517387930E+01 ,    -0.103028634875539E+02 ,    -0.166254438149339E+01 ,    -0.188752101755941E+01 , 
   1.14000 ,    -0.694210322545379E+01 ,     0.325708005992393E+01 ,     0.342274602698869E+01 ,     0.520877020480800E+00 ,    -0.110006566654870E+02 ,    -0.440763909504835E+01 ,    -0.942281922107845E+00 ,    -0.103225547111462E+02 ,    -0.126538455404463E+01 ,    -0.202269301818647E+01 , 
   1.16000 ,    -0.313397511032224E+01 ,    -0.163168788739174E-01 ,     0.379003615152897E+00 ,    -0.859862544526766E+00 ,    -0.515347044495610E+01 ,    -0.140025466904067E+01 ,     0.585113464902142E+00 ,    -0.523464358582139E+01 ,     0.508282073566834E+00 ,    -0.166083424905293E+01 , 
   1.18000 ,    -0.995008800553425E+00 ,    -0.358294014528726E+01 ,    -0.327589975611955E+01 ,    -0.131715754276170E+01 ,    -0.644257836953726E-01 ,    -0.130311138073111E+01 ,     0.163196404992435E+01 ,    -0.390714016694150E+00 ,     0.158863285352865E+01 ,    -0.121052446315396E+01 , 
   1.20000 ,    -0.317941938781254E+01 ,    -0.310675374161398E+01 ,    -0.314690865189502E+01 ,    -0.260537190817250E+00 ,    -0.180924528561180E+01 ,    -0.447851773441955E+01 ,     0.929659650148646E+00 ,    -0.167197909593053E+01 ,     0.673627830732515E+00 ,    -0.121272612219756E+01 , 
